REEDR_input_variable,field_name
runLabel_fieldname,Run Label
timestep_fieldname,Timesteps Per Hour
weather_fieldname,Weather File
orient_fieldname,Building Orientation [deg]
footprint_fieldname,Conditioned Footprint Area [ft^2]
stories_fieldname,Average Number of Stories Above Foundation
heightPerStory_fieldname,Average Ceiling Height Per Story [ft]
bldgRatio_fieldname,Building Width to Depth Ratio
roofPitch_fieldname,Roof Pitch
wallInputMethod_fieldname,Exterior Non-Foundation Wall Input Methd
wallCon_fieldname,Exterior Non-Foundation Wall Pre-Defined Constructions
wallRvalue_fieldname,Exterior Non-Foundation Wall Overall Effective R-Value [Btu/h-ft^2-F]
ceilingInputMethod_fieldname,Ceiling And Roof Input Methd
ceilingCon_fieldname,Ceiling And Roof Construction
ceilingRvalue_fieldname,Ceiling Overall Effective R-Value
floorInputMethod_fieldname,Floor and Foundation Input Methd
floorCon_fieldname,Foundation And Floor Construction
foundType_fieldname,Foundation Type
floorRvalue_fieldname,Floor Overall Effective R-Value
slabPerimRvalue_fieldname,Slab Perimeter Insulation R-Value
slabUnderRvalue_fieldname,Full Under-Slab Insulation R-Value
slabTBvalue_fieldname,Slab Thermal Break Insulation R-Value
foundWallRvalue_fieldname,Foundation Wall Insulation R-Value
windowuUvalue_fieldname,Window U-Value [Btu/h-ft^2-F]
windowSHGC_fieldname,Window Solar Heat Gain Coefficient
windowShade_fieldname,Window Shades
wtwFront_fieldname,"Window-to-Wall Ratio, Front [%]"
wtwBack_fieldname,"Window-to-Wall Ratio, Back [%]"
wtwLeft_fieldname,"Window-to-Wall Ratio, Left [%]"
wtwRight_fieldname,"Window-to-Wall Ratio, Right [%]"
infiltration_fieldname,Conditioned Envelope Infiltration [ACH50]
primaryHVAC_fieldname,Primary HVAC Type
primaryHtgCapacityUnits_fieldname,Primary Heating Capacity Units
primaryHtgCapacity_fieldname,Primary Rated Heating Capacity [@47F OAT]
primaryClgCapacityUnits_fieldname,Primary Cooling Capacity Units
primaryClgCapacity_fieldname,Primary Rated Cooling Capacity [@95F OAT]
hpBackupType_fieldname,ASHP Backup Heat Type
hpBackupCapacityUnits_fieldname,ASHP Backup Heat Capacity Units
hpBackupCapacity_fieldname,ASHP Backup Heat Capacity
backupBaseboardCapacity_fieldname,Backup Electric Baseboard Heat Capacity [kW]
hpBackupLockout_fieldname,ASHP Backup Heat Lockout Temp [deg F]
hpCompressorLockout_fieldname,ASHP Compressor Lockout Temp [deg F]
AFUE_fieldname,Non-Electric Furnace AFUE [%]
supplyLeakage_fieldname,Supply Duct Leakage [%]
supplyRvalue_fieldname,Supply Duct Insulation Nominal R-Value [h-ft^2-F/Btu]
returnLeakage_fieldname,Return Duct Leakage [%]
returnRvalue_fieldname,Return Duct Insulation Nominal R-Value [h-ft^2-F/Btu]
htgSched_fieldname,Heating Setpoint Schedule
clgSched_fieldname,Cooling Setpoint Schedule
dhwType_fieldname,Water Heater Type
dhwSched_fieldname,Water Heater Setpoint Schedule
numOfPeople_fieldname,Number Of People
intLPD_fieldname,Interior Lighting Power Density [W/ft^2]
extLP_fieldname,Exterior Lighting Power [W]
range_fieldname,Range
dryer_fieldname,Dryer
frig_fieldname,Refrigerator
cw_fieldname,Clothes Washer
dw_fieldname,Dishwasher
miscElec_fieldname,Misc Electric Gains [Max W]
miscElecShed_fieldname,Misc Electric Gains Schedule
miscGas_fieldname,Misc Gas Gains [Max Btu/h]
miscGasShed_fieldname,Misc Gas Gains Schedule
